57415.25,-0.025,-0.025
58257.57,-0.025,-0.025
58257.57,-0.025,-0.025
58279.53,-0.025,0
58301.49,-0.025,0.025
58378.16,-0.025,0.025
58400.12,-0.025,0
58422.08,-0.025,-0.025
58422.08,-0.025,-0.025
58480.7,-0.025,-0.025
58480.7,-0.025,-0.025
58502.66,0,-0.025
58529.89,0.031,-0.031
58622.82,0.031,-0.031
58650.05,0,-0.025
58672.01,-0.025,-0.025
58672.01,-0.025,-0.025
59248.01,-0.025,-0.025
59248.01,-0.025,-0.025
59269.97,-0.025,0
59297.2,-0.031,0.031
59440.49,-0.031,0.031
59473.78,0.031,-0.031
59632.57,0.031,-0.031
59659.8,0,-0.025
59681.76,-0.025,-0.025
59681.76,-0.025,-0.025
59762.2,-0.025,-0.025
59784.16,-0.025,0
59806.11,-0.025,0.025
59826.32,-0.048,0.048
59921.79,-0.048,0.048
60001.65,-0.025,0.025
60075.87,-0.025,0.025
60097.83,-0.025,0
60119.79,-0.025,-0.025
60119.79,-0.025,-0.025
61238.63,-0.025,-0.025
61238.63,-0.025,-0.025
61260.59,0,-0.025
61282.55,0.025,-0.025
61334.18,0.025,-0.025
61356.14,0,-0.025
61378.1,-0.025,-0.025
61378.1,-0.025,-0.025
63243.57,-0.025,-0.025
63243.57,-0.025,-0.025
63265.53,0,-0.025
63292.76,0.031,-0.031
63427.21,0.031,-0.031
63454.44,0,-0.025
63476.4,-0.025,-0.025
63476.4,-0.025,-0.025
63559.3,-0.025,-0.025
63559.3,-0.025,-0.025
63581.26,-0.025,0
63603.22,-0.025,0.025
63750.83,-0.025,0.025
63772.79,-0.025,0
63794.75,-0.025,-0.025
63794.75,-0.025,-0.025
64109.47,-0.025,-0.025
64109.47,-0.025,-0.025
64131.42,0,-0.025
64173.58,0.048,-0.048
64192.03,0.048,-0.048
64234.19,0,-0.025
64256.15,-0.025,-0.025
64256.15,-0.025,-0.025
64398.88,-0.025,-0.025
64398.88,-0.025,-0.025
64420.84,0,-0.025
64442.8,0.025,-0.025
64601.59,0.025,-0.025
